"Name","State","Notes","User","Tags","Created","Runtime","Sweep","accuracy_mean","accuracy_std","accuracy_train_mean","accuracy_train_std","macro_mean","macro_std","micro_mean","micro_std","n_units","macro_train_mean","macro_train_std","micro_train_mean","micro_train_std"
"RF_6phylum_28s","finished","-","mohammadsaleh-refahi","28s, 6, phylum","2023-06-15T20:11:37.000Z","6","","0.979209026404","0.0012399913696203857","0.9981758160694748","0.000280685333705899","0.4479137138352434","0.020594315950572095","0.979209026404","0.0012399913696203857","1","0.997418365294652","0.002130633647419611","0.9981758160694748","0.000280685333705899"
"RF_6phylum_its","finished","-","mohammadsaleh-refahi","6, its, phylum","2023-06-15T20:12:15.000Z","5","","0.9779286683540016","0.0012188569126465043","0.9999600511345478","0.00003994886545222176","0.5450935733435194","0.004014202754977825","0.9779286683540016","0.0012188569126465043","1","0.9998405707064272","0.00015942929357293245","0.9999600511345478","0.00003994886545222176"
"KNN_phylum2023-June-05_17-50-22_PMits","finished","-","mohammadsaleh-refahi","2023-June-05_17-50-22_PM, its, phylum","2023-06-19T17:05:52.000Z","5","","0.9702187014089184","0.0021186150905915364","0.9833749460247478","0.00013659526751856133","0.6386972196296975","0.04879988897356763","0.9702187014089184","0.0021186150905915364","2","","","",""
"DNN_phylum2023-June-05_17-50-22_PMits","finished","-","mohammadsaleh-refahi","2023-June-05_17-50-22_PM, its, phylum","2023-06-19T17:05:45.000Z","5","","0.9700039808917196","0.004862598536060905","8.795421974522291","0.005917217592336268","0.5816494676975477","0.0680902369444013","0.9733947942317434","0.004919854488030056","1","","","",""
"KNN_phylum2023-June-16_16-59-42_PMits","finished","-","mohammadsaleh-refahi","2023-June-16_16-59-42_PM, its, phylum","2023-06-19T18:40:00.000Z","5","","0.9697392288431036","0.0025704304509526267","0.9831663276492608","0.00018685939684406056","0.6367808233536477","0.05651292074750405","0.9697392288431036","0.0025704304509526267","2","","","",""
"KNN_6phylum_28s","finished","-","mohammadsaleh-refahi","28s, 6, phylum","2023-06-15T20:11:44.000Z","6","","0.9693865514846732","0.0004450668502190003","0.976753375130846","0.002432780154467351","0.3256152284355841","0.004271737952455362","0.9693865514846732","0.0004450668502190003","2","0.3836011755660595","0.0026073179018116788","0.976753375130846","0.002432780154467351"
"DNN_phylum2023-June-13_19-49-43_PMits","finished","-","mohammadsaleh-refahi","2023-June-13_19-49-43_PM, its, phylum","2023-06-19T18:33:29.000Z","5","","0.9688296178343948","0.004434005764081434","8.78218550955414","0.004945006265517085","0.5693709579875149","0.04975237537120037","0.9722160090535654","0.004424412315778847","1","","","",""
"KNN_3phylum_28s","finished","-","mohammadsaleh-refahi","28s, 3, phylum","2023-06-15T20:10:17.000Z","5","","0.9682873496372716","0.0012168599043561046","0.9761453444496802","0.001216676130301242","0.31475925054923104","0.0164320648651525","0.9682873496372716","0.0012168599043561046","2","0.36974242193564455","0.00429385121748968","0.9761453444496802","0.001216676130301242"
"DNN_phylum2023-June-12_00-04-43_AMits","finished","-","mohammadsaleh-refahi","2023-June-12_00-04-43_AM, its, phylum","2023-06-19T17:40:49.000Z","5","","0.9682125796178344","0.00885247299744618","8.784454617834395","0.006726676371138295","0.5855848512881825","0.06116624692411971","0.9715972468747508","0.008917375693826527","1","","","",""
"KNN_phylum2023-May-31_09-28-13_AMits","finished","-","mohammadsaleh-refahi","2023-May-31_09-28-13_AM, its, phylum","2023-06-19T17:04:15.000Z","136","","0.9678018452951326","0.0015925329272650404","0.9828312076756518","0.00027780509620072843","0.6379165288374725","0.06255463150711973","0.9678018452951326","0.0015925329272650404","2","","","",""
